hashtag,index,abstract,raw_labels,abstract_df_idx,emoji_s,count
杨奇函复活,7725,导语：《奇葩说》第六季复活榜投票已经截止，杨奇函成功复活。,"[13, 17, 18]",10,"(13, 18, 17, 10, 19, 15, 20, 16, 9, 2, 1)","(80, 14, 14, 13, 5, 4, 3, 2, 1, 1, 1)"
高校必要时可调整教学安排,13488,导语：1月23日，教育部再发通知，要求教育系统做好新型冠状病毒感染的肺炎疫情防控应急预案工作，必要时对学校教学安排及相关工作做出调整。,"[5, 4, 16]",11,"(5, 4, 16, 3, 13, 14, 2, 19, 8, 0, 18, 23, 20, 10, 21, 1, 17, 11, 7, 22, 12, 9, 6, 15)","(3637, 437, 304, 81, 77, 69, 59, 29, 26, 26, 23, 23, 22, 20, 18, 17, 17, 16, 16, 16, 15, 14, 14, 10)"
2019年中国游戏女玩家达3亿,109,导语：12月25日，2019年度中国游戏产业年会，发布《2019年中国游戏产业报告》，2019年中国游戏用户规模达到6.4亿人，较2018年增加2.5%。#2019年中国游戏女玩家达3亿#，占国内游戏用户总规模的46.2%。手游用户成为主流 规模达到6.4亿人，同比增加2.5%。,"[2, 8, 18]",12,"(2, 8, 18, 0, 21, 1, 16, 14, 3, 4, 7, 12, 22, 19, 5, 9, 23)","(96, 19, 15, 13, 8, 8, 6, 6, 4, 3, 3, 3, 2, 2, 2, 1, 1)"
外国民众防疫花式大赏,4128,导语：阳台音乐会大佬炫技；居家隔离也不耽误外国人民运动；霸王龙和小黄鸡套装，出门必备；西班牙的狗子们最近压力很大；英国的厕纸存在感依然很强。,"[8, 2, 3]",13,"(8, 2, 3, 1, 18, 0, 9, 7, 12)","(61, 20, 9, 6, 4, 3, 2, 1, 1)"
江苏所有病例全部治愈,8429,导语：江苏省累计631例病例已经全部治愈出院！无一例死亡病例！,"[5, 13, 0]",14,"(5, 13, 0, 4, 7, 14, 18, 1, 2, 6, 9, 10, 20, 3, 17, 22, 16, 12)","(4535, 292, 150, 57, 54, 38, 25, 21, 19, 10, 9, 9, 9, 6, 5, 2, 2, 1)"
2020和2019六大热门景点对比,148,导语：今年五一假期延长，但仍在疫情常态化防控期间；五一小长假第一天，各个热门景点告别“人挤人”现象了吗 ？,"[8, 5, 3]",15,"(8, 3, 5, 2, 4, 17, 21, 16, 0, 1, 14, 9, 10, 22, 6, 11, 18, 13, 23)","(65, 16, 16, 13, 12, 10, 8, 8, 7, 4, 4, 3, 3, 2, 2, 1, 1, 1, 1)"
黄多多健身,13610,导语：孙莉在微博晒出女儿黄多多健身的视频，多多身材也太好了吧！,"[7, 1, 5]",16,"(7, 1, 5, 3, 20, 16, 4, 2, 0, 10, 6, 15, 19, 13, 9, 8, 22, 21, 17, 11, 14, 18, 12, 23)","(2562, 1504, 692, 427, 267, 199, 163, 100, 45, 43, 42, 41, 29, 27, 23, 22, 21, 20, 18, 17, 17, 16, 15, 9)"
五院士谈中国百年战疫史,1685,导语：中国医学专家没有退缩，他们带领全民抗疫并成功击败传染病。赵铠、李兰娟、张伯礼、王辰、杨宝峰，#五院士谈中国百年战疫史#,"[5, 17, 0]",17,"(5, 17, 0, 19, 4, 8, 3, 21, 22)","(132, 9, 7, 4, 2, 1, 1, 1, 1)"
雷神山医院最后一批病人,13049,导语：4月3日，武汉雷神山医院c2病区，少量新冠肺炎病患仍在接受治疗，上海五院和六院援鄂医疗队的医护人员继续坚守。医护查房时，已入院一个多月的程先生表示，希望能够多住院一段时间，免得回家后复发感染亲戚朋友。,"[5, 4, 0]",18,"(5, 4, 0, 13, 14, 20, 11, 1, 15)","(465, 97, 78, 4, 4, 2, 1, 1, 1)"
虞书欣安慰宋昕冉,11555,导语：#小姐姐营业中#宋昕冉因为得票过少，不能表演自己喜欢的《非日常狂欢》难过地哭了，虞书欣立马跑去安慰她要坚强。,"[0, 1, 4]",19,"(0, 1, 4, 17, 5, 2, 6, 7, 10, 3, 8, 19, 9, 12, 16, 23, 18, 21, 13, 14, 11, 22, 15, 20)","(8170, 750, 215, 93, 26, 22, 22, 12, 10, 9, 8, 5, 4, 4, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1)"
马来西亚累计确诊新冠肺炎超千例,13405,导语：20日，马来西亚卫生部表示，该国单日新增130例新冠肺炎确诊病例，累计已达1030例。,"[12, 4, 9]",20,"(12, 4, 9, 10, 18, 0, 5, 13, 8, 7, 6, 21, 1, 22, 17, 3, 2, 23, 16, 14, 15, 19)","(312, 71, 48, 32, 15, 15, 12, 11, 10, 10, 10, 9, 8, 7, 6, 3, 3, 3, 3, 3, 2, 2)"
我国成功发射吉林一号高分02B卫星,6429,导语：2019年12月7日10时55分，我国在太原卫星发射中心用快舟一号甲运载火箭，成功将“吉林一号”高分02B卫星发射升空。卫星顺利进入预定轨道，任务圆满成功。据了解，卫星入轨后，将与此前发射的14颗“吉林一号”卫星组网，为农业、林业、环境等行业用户提供更丰富的遥感数据和产品服务。,"[23, 5, 14]",21,"(23, 5, 14, 16, 0, 17, 20)","(394, 78, 17, 14, 9, 9, 8)"
浙江新增19例确诊病例,8808,导语：2020年1月24日0-24时，浙江省报告新型冠状病毒感染的肺炎新增确诊病例19例，新增重症病例1例。,"[12, 4, 6]",22,"(12, 4, 6, 16, 11, 20, 7, 14, 3, 10, 21, 0, 19, 23, 1, 15, 13, 5, 8, 9, 22)","(1740, 276, 156, 34, 29, 15, 13, 12, 9, 8, 7, 7, 6, 6, 5, 5, 3, 2, 1, 1, 1)"
2019最后3天,134,导语：真正能让人成长的，从来都是勇于跳出舒适区，去尝试和挑战新的事物。走出舒适区虽不是必然选择，但能把人生的圆画得更大。#2019最后3天#，再迈一步，再试一次，不再将就，早安。 ​,"[0, 4, 3]",23,"(0, 4, 3, 2, 11, 5, 19, 23, 13, 17, 14, 10, 7, 1, 9, 12, 21, 15, 20, 8, 18, 6, 16, 22)","(607, 161, 81, 68, 29, 23, 19, 19, 17, 17, 16, 12, 10, 10, 9, 9, 8, 8, 8, 7, 6, 5, 4, 1)"
迪丽热巴翻牌,12274,导语：3月4日15点，迪丽热巴将在微博翻牌，会有什么惊喜呢？,"[20, 7, 0]",24,"(20, 7, 0, 4, 1, 2, 11, 3, 10, 9, 6, 17, 8, 18, 19, 16, 13, 21, 5, 12, 15, 23, 14, 22)","(12450, 638, 616, 590, 587, 367, 217, 126, 59, 40, 33, 26, 23, 21, 12, 12, 10, 7, 7, 7, 6, 6, 6, 5)"
一季度全国6600多家影视文化机构注销,845,导语：据不完全统计，疫情期间仅影视剧行业大约60个剧组停拍、100个项目延迟，#预计今年电视剧产量将比2019年减少30%#。播出机构各项收入大幅下滑，广告收入平均跌幅超过30%以上。#一季度全国6600多家影视文化机构注销#。,"[5, 15, 4]",25,"(5, 15, 4, 21, 18, 2, 16, 11, 9, 0, 13, 8, 3, 1, 22, 12)","(149, 29, 20, 10, 6, 5, 5, 4, 4, 4, 3, 2, 2, 2, 1, 1)"
广东揭阳通报2例关联病例详情,5448,导语：据广东省揭阳市卫生健康局通报，4月4日，揭阳2例本土新增均为儿童。,"[4, 6, 16]",26,"(4, 6, 16, 19, 18, 1, 17, 9, 3, 12, 14, 11, 0, 21)","(434, 197, 40, 12, 10, 7, 7, 6, 5, 5, 5, 2, 2, 1)"
印度医生因抗疫遭歧视,3179,导语：当地时间3月25日，印度新德里。据当地媒体报道，许多接触过新冠病人的医生表示他们受到房东的歧视和威胁，甚至有医生被赶出住所，拎着行李在街头游荡。,"[1, 6, 12]",27,"(1, 6, 12, 2, 13, 4, 16, 0, 11, 14, 9, 3, 19, 18, 22, 8, 23, 7, 5, 17, 21, 15, 20)","(1622, 933, 111, 40, 35, 24, 22, 18, 17, 16, 14, 13, 13, 10, 9, 8, 8, 7, 6, 6, 4, 3, 3)"
主要快递公司网点除湖北外全部复工,1534,导语：除疫情集中的湖北地区以外，9日全国快递网点100%复工，每天处理的快递量超过去年同期。,"[5, 6, 4]",28,"(5, 6, 4, 16, 3, 0, 2, 1, 22, 18, 21, 19, 11, 8, 9, 14)","(159, 37, 31, 21, 12, 10, 8, 8, 6, 4, 2, 2, 1, 1, 1, 1)"
上学时女生之间的友谊,960,导语：上学时你和同学的友谊怎么样呢，每天都是如何保持感情呢？发博讨论一下吧👭,"[0, 1, 2]",29,"(0, 1, 2, 3, 11, 6, 8, 20, 10, 17, 13, 18, 9, 12, 19, 5)","(387, 187, 123, 36, 31, 24, 18, 18, 14, 9, 6, 5, 4, 4, 3, 1)"
流金岁月开机,8761,导语：流金岁月今日开机，由陈道明 董子健 刘诗诗 倪妮 田雨 楊祐寧 杨玏 领衔主演（按姓氏首字母排序）,"[7, 0, 17]",30,"(7, 0, 17, 5, 13, 14, 18, 23, 4, 1, 21, 10, 8, 3, 9, 2, 22, 19, 6, 12, 16, 20)","(4657, 413, 160, 84, 75, 67, 63, 46, 41, 32, 14, 11, 9, 3, 1, 1, 1, 1, 1, 1, 1, 1)"
被问最多的口红色号,11666,导语：带话题#被问最多的口红色号#发布你觉得必须拥有姓名的口红~大赛的第一名送MAC口红！另外还送第2345名小可爱眼影~,"[2, 4, 5]",31,"(2, 4, 5, 0, 8, 3, 16, 7, 23, 18, 17, 20, 21, 15, 9, 22, 19, 12)","(33, 21, 18, 15, 13, 13, 10, 6, 6, 4, 3, 3, 2, 2, 1, 1, 1, 1)"
友情里的冷暴力,3263,导语：你有经历过友情里的冷暴力吗？带上话题发微博来说说你的经历～,"[19, 12, 11]",32,"(19, 12, 11, 1, 9, 2, 0, 4, 3, 6, 22, 21, 13, 15, 20, 16, 8, 10, 23, 17)","(1156, 241, 185, 88, 47, 33, 32, 29, 25, 19, 16, 14, 9, 7, 7, 6, 5, 5, 4, 3)"
手机屏保大赛,6536,导语：你日常的手机屏保是什么？风景，爱豆，还是有其他特殊意义？带话题 #手机屏保大赛# ，晒出你的手机屏保吧！,"[2, 0, 18]",33,"(2, 0, 18, 21, 7, 3, 9, 23, 22, 1, 6, 13, 8, 14, 12, 17, 16, 11, 4, 19, 10)","(863, 459, 159, 43, 39, 37, 23, 15, 13, 13, 10, 9, 8, 7, 6, 6, 2, 1, 1, 1, 1)"
湖北新增1807例新冠肺炎,9046,导语：2020年2月17日0—24时，全省新增新冠肺炎确诊病例1807例。,"[4, 0, 14]",34,"(4, 0, 14, 20, 12, 16, 22, 19, 17, 5, 13, 11, 6, 21, 1, 10, 9, 15, 18, 8, 3, 2, 7, 23)","(313, 247, 38, 25, 20, 20, 19, 18, 16, 15, 15, 14, 12, 10, 9, 9, 7, 7, 6, 6, 6, 5, 4, 3)"
内蒙古30吨马铃薯驰援武汉,2452,导语：1月26日，为支援武汉疫情防控，第一批30吨马铃薯分别通过K598、K1278次列车发往武汉，将于27日运抵。,"[14, 0, 3]",35,"(14, 0, 3, 2, 13, 8, 5, 17, 7, 18, 20, 15, 19, 4, 11, 21, 1, 6, 10, 23, 16)","(4312, 344, 284, 178, 73, 63, 55, 26, 22, 13, 9, 8, 6, 5, 1, 1, 1, 1, 1, 1, 1)"
陈乔恩艾伦好甜,12877,导语：陈乔恩与男友艾伦出门游玩，乔恩冲着艾伦奔了上去，艾伦宠溺亲吻其额头，两人超甜蜜~,"[0, 1, 9]",36,"(0, 1, 9, 2, 20, 3, 10, 17, 8, 4, 14, 12, 6, 21, 19, 7, 15, 5, 23, 18, 11, 13, 16, 22)","(3730, 1138, 183, 84, 69, 64, 54, 45, 30, 29, 29, 28, 26, 16, 16, 14, 13, 13, 13, 12, 8, 7, 5, 3)"
男子偷走正在直播的手机,9949,导语：5月7日，广西南宁，男子偷走一部正在直播的手机。失主说，吃饭回来发现手机被偷，用另外一部手机回看视频，看到男子出现在屏幕里就立即报警。民警介绍，嫌疑人曾在失主店内打工，当天路过见无人就行窃，已被刑拘。,"[3, 8, 2]",37,"(3, 8, 2, 16, 1, 5, 6, 11, 9, 20, 17, 21, 13, 12, 10, 23, 22, 15, 4, 14, 18)","(2288, 648, 287, 58, 36, 31, 18, 16, 14, 14, 12, 8, 8, 7, 7, 7, 6, 6, 5, 4, 3)"
武汉公交地铁暂停运营,8076,导语：自2020年1月23日10时起，全市城市公交、地铁、轮渡、长途客运暂停运营；无特殊原因，市民不要离开武汉，机场、火车站离汉通道暂时关闭。恢复时间另行通告。,"[5, 4, 0]",38,"(5, 4, 0, 13, 10, 11, 14, 22, 1, 17, 20, 2, 8, 6, 19, 3, 16, 15, 7, 9, 12, 18, 23, 21)","(1771, 750, 333, 95, 75, 45, 42, 36, 30, 30, 28, 27, 24, 24, 23, 20, 20, 19, 17, 12, 9, 8, 8, 5)"
民航总医院急诊收到大量奶茶鲜花,8372,导语：民航总医院杨文医生遇害离世。28日，记者在民航总医院看到急诊大厅一侧设置了杨文医生的悼念场所，不少市民自发地送来鲜花凭吊。,"[4, 10, 0]",39,"(4, 10, 0, 12, 11, 6, 17, 14, 5, 8, 1, 23, 9, 22, 19, 13, 16, 20, 3, 21, 7, 2, 18, 15)","(4111, 2000, 216, 166, 99, 94, 39, 28, 25, 16, 16, 15, 9, 9, 9, 9, 9, 8, 7, 7, 6, 6, 5, 5)"
印尼班达海7.2级地震,3168,导语：中国地震台网正式测定：05月06日21时53分在印尼班达海（南纬6.93度，东经130.07度）发生7.2级地震，震源深度110千米。,"[10, 13, 5]",40,"(10, 13, 5, 9, 15, 2, 11, 8, 18, 21, 6, 0, 12, 16, 4, 20, 3, 1)","(459, 405, 55, 32, 25, 20, 19, 19, 13, 13, 9, 9, 7, 6, 5, 3, 2, 1)"
心疼栗娜,6091,导语：碰上想养儿防老的渣爹，还装病耍无赖只为了要生活费……《精英律师》里的栗娜也太惨了吧！,"[4, 0, 3]",41,"(4, 0, 3, 18, 8, 7, 13, 2, 5, 14, 20, 22, 19, 11, 16, 23, 21, 12, 10, 15, 6)","(127, 56, 46, 21, 12, 12, 12, 10, 7, 7, 6, 5, 5, 4, 4, 3, 2, 2, 2, 1, 1)"
中国男子在秘鲁偷试剂盒非法检测,1389,导语：4月12日，一名中国男子张天星（音译）因偷窃试剂盒并非法提供新冠检测于秘鲁利马被捕。,"[6, 1, 5]",42,"(6, 1, 5, 4, 3, 19, 10, 0, 2, 11, 22, 23, 17, 20, 9, 15, 18)","(1484, 226, 85, 43, 41, 19, 17, 11, 10, 9, 9, 7, 7, 7, 5, 5, 1)"
湖北邮政快递业已实现超五成服务能力,9129,导语：国家邮政局消息，邮政业安全监管信息系统数据显示，截至3月27日，湖北省主要寄递企业共揽收包裹293.78万件，为去年同期的62.7%。目前，湖北省邮政快递业已经实现超五成服务能力，武汉以外湖北各地复产率已近七成。,"[5, 19, 3]",43,"(5, 19, 3, 18, 2, 17, 0, 12, 16, 13, 1, 6)","(100, 27, 24, 11, 9, 9, 4, 3, 3, 2, 1, 1)"
这次疫情让你看到了什么,12245,导语：疫情是个放大镜，以前看不到的，这次都赤裸裸的对比在眼前！带话题说说，这次疫情让你看到了什么？,"[17, 0, 11]",44,"(17, 0, 11, 6, 10, 14, 12, 3, 2, 4, 13, 19, 9, 16, 20, 21, 1, 5, 23, 7, 8, 15, 18, 22)","(1172, 242, 185, 116, 68, 50, 49, 48, 44, 35, 27, 24, 16, 13, 13, 11, 11, 8, 8, 5, 4, 4, 3, 2)"
成年人绝佳的告别方式,6377,导语：成年人绝佳的告别方式，你认为是什么样的？带话题发博参与讨论吧~,"[12, 8, 2]",45,"(12, 8, 2, 7, 11, 19, 13, 0, 4, 18, 20, 9, 3, 22, 14, 10, 21, 15, 17)","(391, 22, 17, 16, 15, 15, 12, 10, 9, 8, 8, 5, 5, 3, 3, 2, 1, 1, 1)"
新入伍消防员逼真火场训练,6801,导语：近日，西藏昌都市森林消防支队江达中队，设置逼真火场开展火场心理行为训练。越火墙、跨火栏、冲火廊、入迹地、穿火林、过火幕…“平时多流汗，战时少流血，要想不被烈火伤害，就要严格按照避险动作要领来。” 致敬！,"[5, 14, 0]",46,"(5, 0, 14, 2, 13, 17, 16, 4, 20, 11)","(112, 22, 22, 14, 7, 7, 4, 3, 3, 1)"
谈恋爱最在意的是什么,11898,导语：谈恋爱最在意的是什么？带话题讨论一下，说说你的想法～,"[0, 9, 21]",47,"(0, 9, 21, 6, 19, 17, 20, 3, 12, 23, 11, 8, 18, 5, 14)","(124, 36, 11, 11, 9, 5, 5, 4, 4, 4, 2, 2, 1, 1, 1)"
武汉市民70天第一次出门,8142,导语：3月30日，武汉市内多家商场恢复营业，门口设警戒线顾客测体温、出示“绿码”后排队进入。许多前来逛街的市民说，并非有购物需求，只是想出门感受下武汉的变化。一位女士称，自己70天第一次出门，开车绕市区转了一圈，感觉武汉在往好的地方发展。,"[0, 4, 14]",48,"(0, 4, 14, 3, 1, 6, 5, 13, 7, 17, 8, 12, 16, 19, 21, 22, 15, 23, 18, 9, 2, 11, 20, 10)","(4486, 147, 102, 98, 66, 65, 46, 43, 37, 27, 21, 20, 18, 13, 11, 11, 9, 9, 8, 8, 8, 7, 6, 4)"
加拿大航空暂停所有直航中国航班,2754,导语：总部位于蒙特利尔的加拿大航空公司(Air Canada)当地时间1月29日下午发表声明宣布，遵照加拿大政府有关避免前往中国大陆的非必要旅行的建议，从1月30日起到2月29日期间，暂停往来中国北京和上海的直航航班。,"[5, 4, 11]",49,"(5, 4, 11, 6, 21, 16, 3, 23, 17, 19, 20, 0, 10, 13, 14)","(61, 13, 11, 10, 7, 7, 5, 3, 3, 2, 2, 1, 1, 1, 1)"
泰国77头表演大象解开脚链,8717,导语：据媒体1月9日报道，泰国清迈Maesa大象营已给77头大象解开脚链，让它们可以在营地里自由活动。,"[4, 5, 6]",50,"(4, 5, 6, 0, 12, 18, 14, 1, 13, 20, 11, 3, 17, 8, 21, 16)","(450, 90, 35, 35, 29, 14, 13, 7, 6, 6, 3, 3, 2, 1, 1, 1)"
在东京发口罩女孩的哥哥是援鄂医生,3972,导语：2月23日，一名中国女孩穿着玩偶服在日本街头发口罩，箱子上写着“来自武汉的感恩”。女孩姓曾，她称，自己的哥哥在武汉抗疫一线，受他的影响想做点事情，国内疫情严重时，日本捐赠了很多物资，现在日本疫情严重，我们也该帮帮他们。,"[0, 6, 5]",51,"(0, 6, 5, 17, 14, 15, 11, 1, 19, 13, 12, 23, 4, 20, 10, 2)","(3136, 178, 153, 23, 14, 8, 7, 7, 7, 6, 5, 5, 4, 3, 2, 1)"
特朗普称伊朗永远都不会拥有核武器,9532,导语：当地时间1月6日上午，美国总统特朗普发推称，“伊朗永远也不会拥有核武器”。当地时间1月5日晚，伊朗政府发布一份声明，宣布将中止履行伊核协议，但表示如取消制裁并满足伊朗利益，伊朗将准备恢复履行协议。,"[1, 6, 8]",52,"(1, 6, 8, 11, 2, 21, 9, 3, 19, 5, 13, 15, 12, 23, 0, 16, 17, 7, 18, 4, 10, 14)","(470, 159, 69, 62, 33, 25, 21, 20, 17, 16, 14, 11, 11, 10, 9, 9, 9, 8, 7, 7, 3, 1)"
可乐包包,3339,导语：可口可乐包拉罐包，搞怪时尚[good]​,"[1, 7, 8]",53,"(1, 7, 8, 2, 9, 10, 3, 5, 22, 14, 20, 18, 23, 13, 11, 4, 21, 0, 16, 17)","(46, 42, 16, 14, 10, 8, 7, 6, 5, 5, 5, 4, 4, 3, 2, 2, 2, 1, 1, 1)"
美颜前vs美颜后的你,10889,导语：美颜前后的你是怎么样的呢？。,"[2, 3, 8]",54,"(2, 3, 8, 0, 15, 20, 6, 14, 19, 11, 7, 1, 17, 13, 21, 18, 22, 16, 4)","(348, 157, 49, 18, 12, 10, 8, 8, 7, 6, 6, 6, 6, 5, 4, 2, 2, 2, 1)"
武汉优先安排外卖快递返岗,8065,导语：2月29日，湖北省召开新型冠状病毒感染肺炎疫情防控工作例行新闻发布会，武汉市商务局党组书记姚彬表示，28日省新冠肺炎疫情防控指挥部已经印发了通知，优先安排了商贸流通行业这些急需返岗的员工尽快返岗。,"[0, 1, 4]",55,"(0, 1, 4, 13, 5, 6, 9, 3, 11, 14, 8, 2, 16, 18, 7)","(262, 57, 39, 28, 26, 16, 14, 9, 8, 6, 2, 2, 2, 1, 1)"
韩国将从3月11日起加强股票卖空规定,13182,导语：韩国财政部在声明中表示，作为稳定市场措施的一部分，从3月11日起韩国将加强股票卖空规定三个月。,"[5, 9, 4]",56,"(5, 9, 4, 2, 3, 12, 22, 0, 10, 20, 13, 8, 1, 17, 7, 19, 23, 15)","(63, 32, 17, 15, 11, 9, 6, 6, 6, 6, 5, 4, 4, 4, 2, 2, 2, 1)"
瑞士要求德国速还被扣口罩,9830,导语：3月7日瑞士媒体报道，一家瑞士企业用货车运输的24万只口罩被德国海关扣留。瑞士政府已召见德国大使表达抗议。德国4日发布禁令，禁止出口口罩等医用防护用品。,"[2, 9, 3]",57,"(2, 9, 3, 5, 8, 1, 21, 15, 6, 22, 11, 13, 14, 19, 23, 10, 18, 16, 20)","(1527, 317, 110, 52, 51, 31, 30, 19, 12, 11, 10, 10, 9, 8, 7, 6, 1, 1, 1)"
华人讲述美国新冠病毒检测花销,3042,导语：3月5日，随着新冠疫情在美国蔓延，华盛顿州成为疫情最严重的地区。华人周荆韬称，周围人的疫情防范意识几乎为零，尽管病毒检测现在已经免费，但可能出现的救护车服务、拍片子等都需要额外支付费用，所以不少人去做病毒检测还是会有顾虑。,"[2, 1, 9]",58,"(2, 1, 9, 11, 4, 18, 15, 23, 0, 3, 8, 17, 14, 13, 10, 19, 16, 22)","(500, 46, 32, 27, 22, 19, 17, 16, 15, 12, 8, 8, 7, 5, 4, 2, 2, 1)"
没有豆皮的三鲜豆皮,8568,导语：热干面醒了！武汉人的过早不只有热干面哦，还有美味的三鲜豆皮，那你的早餐是什么呢？带上话题词，快给大家看看吧！,"[3, 4, 17]",59,"(3, 4, 17, 7, 2, 13, 19, 0, 20, 8, 1, 18, 16, 21, 22, 12, 14)","(83, 73, 21, 18, 17, 9, 7, 7, 4, 3, 3, 2, 2, 1, 1, 1, 1)"
考研失败是种什么体验,10947,导语：考研国家线出来了，有人欢喜有人忧，没考好是什么体验呢，带话题发微博吐槽一下吧~，转评赞大于或等于5入围！排名按点赞顺序排序~,"[4, 2, 3]",60,"(4, 2, 3, 1, 16, 12, 19, 0, 6, 21, 11, 7, 10, 8, 23, 9, 18, 20)","(424, 95, 83, 52, 37, 25, 23, 23, 22, 20, 16, 12, 7, 6, 6, 3, 2, 2)"
5月将有流星雨和两次双星伴月,332,导语：5月6日，宝瓶座η流星雨将迎来极大期；5月7日，将迎来可称得上是“超级月亮”的“大月亮”；5月13日，将发生木星、土星合月。可以看到木星、土星“双星伴月”的天象；5月24日，还将发生一次金星、水星合月。,"[7, 0, 9]",61,"(7, 0, 9, 2, 17, 13, 15, 14, 4, 12, 19, 11)","(1306, 42, 30, 12, 12, 7, 6, 6, 5, 4, 2, 1)"
制造业再创国人骄傲,2715,导语：中国飞鹤荣获全球卓越制造大奖TPM奖，成为全球为数不多获得该奖项的婴幼儿奶粉企业之一。中国制造正在比肩世界一流水准，用质量与品质勇攀领域高峰！,"[5, 1, 13]",62,"(5, 1, 13, 2, 18, 6, 10, 7, 8, 0, 11)","(808, 95, 54, 10, 8, 8, 7, 6, 5, 3, 2)"
